,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,predictions
34,49,technician,married,tertiary,0,1235,0,0,cellular,13,8,354,3,-1,0,unknown,1,0
36,78,retired,divorced,primary,0,229,0,0,telephone,22,10,97,1,-1,0,unknown,1,0
37,32,blue-collar,married,secondary,0,2089,1,0,cellular,14,11,132,1,-1,0,unknown,1,0
84,37,management,married,tertiary,0,1315,0,0,cellular,30,6,224,1,-1,0,unknown,1,0
92,27,services,single,secondary,0,-195,1,0,cellular,18,5,391,1,-1,0,unknown,1,0
108,56,unemployed,married,primary,0,3391,0,0,cellular,21,4,243,1,-1,0,unknown,1,0
114,25,student,single,secondary,0,331,0,0,telephone,26,8,170,4,-1,0,unknown,1,0
115,25,technician,single,secondary,0,505,0,1,cellular,17,11,386,2,-1,0,unknown,1,0
129,77,retired,divorced,tertiary,0,4659,0,0,cellular,14,4,161,1,-1,0,unknown,1,0
189,56,retired,married,secondary,0,-1206,1,0,cellular,15,6,382,2,-1,0,unknown,1,0
314,25,admin.,single,tertiary,0,760,1,0,cellular,27,5,223,3,89,2,failure,1,0
368,60,technician,single,primary,0,11262,0,0,cellular,26,8,323,1,-1,0,unknown,1,0
382,59,retired,married,tertiary,0,9676,0,0,telephone,27,3,234,2,-1,0,unknown,1,0
409,54,admin.,married,secondary,0,0,0,0,cellular,28,1,161,1,98,2,failure,1,0
443,30,management,married,tertiary,0,1221,1,0,telephone,25,7,279,4,-1,0,unknown,1,0
473,61,admin.,married,secondary,0,4608,0,0,cellular,12,3,212,1,-1,0,unknown,1,0
493,46,admin.,married,secondary,0,22,0,0,cellular,26,8,388,6,-1,0,unknown,1,0
503,19,student,single,primary,0,103,0,0,cellular,10,7,104,2,-1,0,unknown,1,0
603,32,services,single,secondary,0,2881,0,0,cellular,2,7,356,1,-1,0,unknown,1,0
613,41,self-employed,married,tertiary,0,231,0,0,cellular,7,8,352,2,-1,0,unknown,1,0
662,38,technician,single,tertiary,0,25,1,0,cellular,1,6,232,2,-1,0,unknown,1,0
732,50,management,married,tertiary,0,3463,0,1,cellular,28,10,96,1,-1,0,unknown,1,0
737,36,technician,married,secondary,0,480,0,0,cellular,20,10,213,1,-1,0,unknown,1,0
741,28,management,single,secondary,0,1633,0,0,cellular,5,6,275,1,-1,0,unknown,1,0
756,48,management,married,tertiary,0,1167,1,1,cellular,1,6,264,1,-1,0,unknown,1,0
892,27,student,single,tertiary,0,5291,0,0,cellular,12,11,192,2,92,2,failure,1,0
905,28,services,single,secondary,0,198,0,0,cellular,5,7,128,2,-1,0,unknown,1,0
940,34,blue-collar,divorced,unknown,0,172,0,0,cellular,15,6,177,1,-1,0,unknown,1,0
944,40,blue-collar,married,secondary,0,1451,0,0,cellular,1,6,314,1,-1,0,unknown,1,0
945,41,technician,married,secondary,0,1066,0,0,cellular,11,2,109,3,-1,0,unknown,1,0
975,34,blue-collar,single,secondary,0,215,0,0,cellular,3,3,350,3,-1,0,unknown,1,0
991,37,admin.,married,tertiary,0,3913,1,0,cellular,27,4,124,1,-1,0,unknown,1,0
1020,42,technician,married,secondary,0,994,1,0,cellular,11,8,149,1,78,5,failure,1,0
1021,45,admin.,married,secondary,0,5346,1,1,unknown,21,10,187,1,-1,0,unknown,1,0
1025,56,retired,married,secondary,0,1044,0,0,telephone,3,7,353,2,-1,0,unknown,1,0
1070,36,blue-collar,married,secondary,0,1049,1,0,cellular,14,5,224,4,-1,0,unknown,1,0
1076,54,unknown,married,secondary,0,2206,0,0,cellular,12,11,104,1,99,2,other,1,0
1077,38,admin.,married,tertiary,0,1988,0,0,cellular,27,3,164,2,130,2,failure,1,0
1151,44,admin.,married,secondary,0,205,0,0,cellular,3,11,289,1,-1,0,unknown,1,0
1177,28,self-employed,single,tertiary,0,4579,0,0,cellular,12,1,409,2,-1,0,unknown,1,0
1179,37,management,married,tertiary,0,5106,0,0,cellular,30,4,244,1,-1,0,unknown,1,0
1180,31,technician,married,tertiary,0,636,1,0,cellular,4,5,352,4,-1,0,unknown,1,0
1212,36,management,single,tertiary,0,490,0,0,cellular,28,8,207,8,98,1,failure,1,0
1230,75,retired,divorced,secondary,0,1341,0,0,cellular,18,12,415,7,-1,0,unknown,1,0
1277,46,admin.,divorced,secondary,0,2232,0,0,cellular,13,2,121,1,-1,0,unknown,1,0
1287,31,management,married,tertiary,0,2603,1,0,cellular,11,2,280,4,-1,0,unknown,1,0
1332,45,admin.,married,secondary,0,204,1,0,cellular,3,6,224,2,-1,0,unknown,1,0
1343,47,technician,married,secondary,0,1233,1,0,unknown,11,9,91,1,100,2,other,1,0
1344,28,management,single,secondary,0,171,0,0,cellular,10,3,93,1,-1,0,unknown,1,0
1435,64,retired,married,secondary,0,1574,0,0,telephone,29,7,301,3,-1,0,unknown,1,0
1458,36,management,married,tertiary,0,2987,1,0,cellular,12,8,307,1,-1,0,unknown,1,0
1464,31,blue-collar,married,secondary,0,1766,0,1,cellular,5,6,166,2,-1,0,unknown,1,0
1467,53,services,divorced,secondary,0,0,0,0,cellular,12,3,80,2,-1,0,unknown,1,0
1532,33,technician,married,secondary,0,133,0,0,cellular,4,5,218,1,-1,0,unknown,1,0
1574,42,management,divorced,unknown,0,7702,0,0,cellular,16,2,138,2,-1,0,unknown,1,0
1604,49,management,single,tertiary,0,151,1,0,cellular,8,7,97,3,-1,0,unknown,1,0
1693,37,technician,single,secondary,0,2442,0,0,cellular,16,2,91,3,-1,0,unknown,1,0
1704,35,management,single,tertiary,0,5958,1,0,cellular,22,3,215,1,-1,0,unknown,1,0
1705,25,student,single,secondary,0,304,0,0,cellular,26,5,226,2,-1,0,unknown,1,0
1709,46,admin.,married,secondary,0,70,1,0,cellular,27,3,229,2,-1,0,unknown,1,0
1727,34,technician,married,tertiary,0,197,0,0,cellular,20,8,78,3,-1,0,unknown,1,0
1739,49,housemaid,married,primary,0,889,0,0,telephone,7,7,388,1,-1,0,unknown,1,0
1748,49,admin.,married,secondary,0,197,1,0,cellular,13,4,223,1,182,2,failure,1,0
1844,54,management,married,tertiary,0,8295,0,0,cellular,5,6,207,1,-1,0,unknown,1,0
1854,34,management,single,tertiary,0,2646,0,0,cellular,14,4,142,1,-1,0,unknown,1,0
1889,42,management,married,tertiary,0,1205,0,0,telephone,8,9,376,2,-1,0,unknown,1,0
1917,53,unemployed,married,primary,0,980,1,0,cellular,3,12,352,1,-1,0,unknown,1,0
1927,71,retired,married,primary,0,4657,0,0,cellular,16,2,93,5,-1,0,unknown,1,0
1934,27,technician,single,secondary,0,489,1,0,cellular,30,7,356,4,-1,0,unknown,1,0
1940,27,student,single,secondary,0,213,0,0,cellular,27,3,378,1,-1,0,unknown,1,0
1962,25,unemployed,single,tertiary,0,343,0,0,cellular,1,6,377,1,-1,0,unknown,1,0
2015,40,management,single,tertiary,0,0,1,0,cellular,23,2,228,2,182,6,failure,1,0
2077,30,management,single,tertiary,0,201,1,0,cellular,17,3,325,2,-1,0,unknown,1,0
2120,62,retired,divorced,tertiary,0,0,0,0,cellular,13,11,227,2,-1,0,unknown,1,0
2131,35,housemaid,married,tertiary,0,1265,1,0,cellular,15,5,326,5,179,4,failure,1,0
2148,62,management,married,tertiary,0,1859,0,0,telephone,6,8,245,3,-1,0,unknown,1,0
2195,23,entrepreneur,single,primary,0,4,1,0,unknown,13,5,395,2,-1,0,unknown,1,0
2419,41,blue-collar,single,secondary,1,-386,0,1,cellular,20,11,477,1,-1,0,unknown,1,0
2499,37,management,married,tertiary,0,5355,0,0,telephone,17,2,466,4,-1,0,unknown,1,0
2568,61,retired,married,secondary,0,2917,0,0,cellular,6,10,215,1,-1,0,unknown,1,0
2583,52,technician,married,tertiary,0,2557,0,0,cellular,28,1,134,5,204,2,success,1,0
2644,36,management,married,tertiary,0,9,0,0,cellular,11,8,386,4,-1,0,unknown,1,0
2655,42,technician,married,secondary,0,4945,1,0,cellular,2,3,311,2,-1,0,unknown,1,0
2696,55,management,divorced,tertiary,0,9756,1,0,cellular,5,6,103,2,95,1,other,1,0
2705,41,blue-collar,single,secondary,0,75,1,0,unknown,1,7,479,9,-1,0,unknown,1,0
2717,29,technician,single,tertiary,0,2325,0,0,cellular,2,2,125,1,-1,0,unknown,1,0
2773,35,management,divorced,tertiary,0,0,1,0,telephone,29,10,171,1,-1,0,unknown,1,0
2780,19,student,single,secondary,0,302,0,0,cellular,16,7,205,1,-1,0,unknown,1,0
2845,44,management,married,tertiary,0,1058,0,0,cellular,11,3,188,3,-1,0,unknown,1,0
2911,34,housemaid,married,secondary,0,0,1,0,unknown,30,10,154,1,-1,0,unknown,1,0
2915,56,retired,divorced,primary,0,694,0,0,cellular,29,1,144,1,102,1,other,1,0
2940,61,technician,married,secondary,0,1191,0,0,cellular,21,5,214,4,-1,0,unknown,1,0
2948,36,management,single,secondary,0,1511,1,0,cellular,16,11,270,1,-1,0,unknown,1,0
2953,22,student,single,tertiary,0,691,0,0,cellular,19,8,338,1,-1,0,unknown,1,0
2962,71,retired,married,tertiary,0,14220,1,0,cellular,9,9,397,1,-1,0,unknown,1,0
2963,31,management,single,tertiary,0,12569,0,0,cellular,9,9,344,1,295,1,failure,1,0
3013,49,technician,married,tertiary,0,523,1,0,cellular,3,3,152,2,-1,0,unknown,1,0
3036,73,retired,married,primary,0,279,0,0,cellular,28,1,399,3,-1,0,unknown,1,0
3040,34,admin.,married,secondary,0,2374,1,0,cellular,9,11,161,1,209,2,failure,1,0
3073,67,retired,married,tertiary,0,701,0,0,cellular,6,8,254,2,-1,0,unknown,1,0
3135,48,management,married,tertiary,0,1808,1,0,cellular,26,2,245,1,-1,0,unknown,1,0
3184,34,management,single,tertiary,0,5086,0,0,cellular,25,5,213,4,-1,0,unknown,1,0
3187,63,retired,married,secondary,0,474,0,0,cellular,25,1,423,1,-1,0,unknown,1,0
3311,87,retired,married,primary,0,230,0,0,cellular,30,10,144,1,-1,0,unknown,1,0
3315,33,admin.,married,tertiary,0,79,1,0,cellular,22,10,249,2,335,2,failure,1,0
3317,25,management,single,tertiary,0,808,0,0,cellular,18,9,267,2,114,2,failure,1,0
3367,27,admin.,married,secondary,0,897,0,0,cellular,5,6,397,1,-1,0,unknown,1,0
3458,71,retired,married,secondary,0,2850,0,0,cellular,17,2,185,1,-1,0,unknown,1,0
3491,47,management,married,tertiary,0,2306,0,0,telephone,6,8,239,4,-1,0,unknown,1,0
3510,43,technician,married,secondary,0,136,0,0,cellular,25,8,363,7,-1,0,unknown,1,0
3527,33,services,divorced,secondary,0,2411,1,0,cellular,23,10,130,1,161,1,failure,1,0
3553,68,retired,married,secondary,0,19317,1,0,cellular,4,8,249,1,-1,0,unknown,1,0
3652,29,admin.,single,secondary,0,1070,1,0,unknown,19,5,30,1,357,1,other,1,0
3723,32,services,single,secondary,0,152,1,0,cellular,25,5,158,2,-1,0,unknown,1,0
3765,55,technician,divorced,secondary,0,3450,0,0,cellular,10,2,169,1,183,1,failure,1,0
3771,61,management,married,tertiary,0,997,0,0,cellular,10,3,106,1,-1,0,unknown,1,0
3778,35,management,married,tertiary,0,8,0,0,cellular,23,4,93,3,-1,0,unknown,1,0
3780,26,management,single,tertiary,0,170,0,0,cellular,15,6,129,1,-1,0,unknown,1,0
3844,39,admin.,married,secondary,0,607,1,0,cellular,12,5,454,2,364,3,failure,1,0
3942,49,management,married,primary,0,3371,0,0,cellular,11,11,269,2,-1,0,unknown,1,0
3995,37,blue-collar,divorced,secondary,0,0,1,0,cellular,21,4,146,4,-1,0,unknown,1,0
4028,52,admin.,single,unknown,0,2227,0,0,cellular,24,2,242,2,-1,0,unknown,1,0
4040,53,entrepreneur,married,primary,0,27,1,0,telephone,10,9,230,3,-1,0,unknown,1,0
4061,28,blue-collar,married,secondary,0,2788,1,0,unknown,6,6,369,2,-1,0,unknown,1,0
4090,30,management,married,tertiary,0,944,0,0,cellular,29,10,251,2,-1,0,unknown,1,0
4108,84,retired,divorced,primary,0,639,0,0,telephone,18,5,353,3,-1,0,unknown,1,0
4117,25,student,single,secondary,0,8,0,0,cellular,22,4,107,2,-1,0,unknown,1,0
4124,50,self-employed,divorced,tertiary,0,13,1,0,cellular,20,4,76,1,-1,0,unknown,1,0
4125,30,technician,married,secondary,0,-393,1,1,cellular,16,7,435,1,-1,0,unknown,1,0
4148,55,entrepreneur,divorced,secondary,0,538,1,0,cellular,7,8,353,2,-1,0,unknown,1,0
4194,32,services,single,secondary,0,133,0,0,cellular,15,4,171,1,-1,0,unknown,1,0
4198,34,management,married,tertiary,0,606,0,0,cellular,20,4,97,1,-1,0,unknown,1,0
4225,65,unknown,married,unknown,0,4717,0,0,telephone,6,8,256,1,-1,0,unknown,1,0
4250,32,management,single,tertiary,0,2,1,0,cellular,11,9,100,2,-1,0,unknown,1,0
4328,49,admin.,married,secondary,0,3608,1,0,unknown,13,11,231,1,-1,0,unknown,1,0
4388,83,retired,divorced,primary,0,1097,0,0,telephone,5,3,181,1,-1,0,unknown,1,0
4392,50,unemployed,married,secondary,0,3357,0,0,cellular,9,6,239,4,-1,0,unknown,1,0
